"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
1,11.6310925653665,5.9253075112259,0.49056311967893,0.000464020725409868,0.448342484691586,0.532783754666274,0.447067590383418,0.530039556288487,11.6310925653665,5.98045210051675,0.485821983884426,0.000486075377655124,0.442609634135773,0.52903433363308,0.442534495231899,0.530608048157097,12.7396155155696,6.24795870442514,0.509564578555039,0.000578897635393375,0.462406406875815,0.556722750234263,0.459194610228339,0.552851039629088,12.7396155155696,6.24771368159254,0.509583811696911,0.000552048024684003,0.463532235267585,0.555635388126237,0.457631290765006,0.549739765806014,11.3888288229284,6.269305602173,0.449521482880541,0.00360030460198644,0.331916507819997,0.567126457941084,0.316532719293412,0.541324910756254,13.4982440260433,6.27659560394166,0.535006509599939,0.000521423454621265,0.490250500581339,0.57976251861854,0.487716349399219,0.570782254345317
2,11.8118626077358,5.95941341443828,0.495472169602164,0.000423501584270737,0.455137027528106,0.535807311676222,0.454223677525678,0.532515074905262,11.8118626077358,5.87948687872117,0.502238802297736,0.000411098955753655,0.462498674612697,0.541978929982776,0.461074143824447,0.538018930272795,13.0663181250772,6.07600025559661,0.53498757665058,0.000597106581373004,0.487093478444198,0.582881674856962,0.48442853018839,0.576691914048384,13.0663181250772,5.85774515457034,0.551691218712332,0.00041672164613998,0.511680246769484,0.59170219065518,0.512437798234775,0.591676810992616,10.8021708290848,6.17050193970292,0.428772046162345,0.0052010775940885,0.287419792252298,0.570124300072392,0.268772139438479,0.539225878177568,13.7892850893144,5.9082452367225,0.571533607547145,0.000427650029347955,0.531001393781511,0.61206582131278,0.526203467024915,0.608507960554903
3,11.9008047890849,6.21581540892058,0.477697893622997,0.000397167794671319,0.43863691821263,0.516758869033365,0.44164050915701,0.518598355654022,11.9008047890849,6.26817653376403,0.47329809665368,0.000402694825371041,0.433966271865788,0.512629921441571,0.434048177948255,0.508482264063535,12.3546310635846,6.09855344021698,0.506375106724753,0.000471286612384175,0.463825198967684,0.548925014481822,0.459529290993372,0.54597527118982,12.3546310635846,6.23357514820108,0.495446273051841,0.000471996727464216,0.452864321144648,0.538028224959035,0.454092850992114,0.537619379329329,11.5626022759652,6.08199045830269,0.473994667191388,0.00305798481581437,0.365608531230959,0.582380803151816,0.350954485172899,0.567540067687681,12.9237732951242,6.26678602299739,0.515096258662964,0.000466696434563824,0.472754069028742,0.557438448297185,0.473047999142145,0.554327773435066
4,11.4487360325869,6.3330629981168,0.44683299710197,0.000553411686727974,0.400724577743525,0.492941416460415,0.398293017645083,0.486469557196298,11.4487360325869,6.26161020412176,0.453074104748409,0.000422648284930257,0.412779618135622,0.493368591361196,0.409930625884634,0.490975128907961,11.9561730522703,6.44007842103163,0.461359551013797,0.000741814882863107,0.407976444566092,0.514742657461501,0.401532045828207,0.508614420215709,11.9561730522703,6.40991526940981,0.463882360903713,0.000639213068508219,0.414328340643181,0.513436381164244,0.412951433064758,0.510791805658238,10.9879421141923,6.42296621762831,0.415453216728156,0.00444482737672828,0.284780921078162,0.54612551237815,0.265846684576694,0.526064636367326,12.749379256997,6.44373327415587,0.494584548450115,0.000588068895717163,0.447054289984722,0.542114806915508,0.440080877459363,0.538499797736551
5,11.70700461805,5.80394324898171,0.504233282693582,0.000402996219772098,0.464886741830674,0.54357982355649,0.461299902646067,0.53994425119251,11.70700461805,5.83239889589294,0.501802631315232,0.000391434856860161,0.463024594411412,0.540580668219051,0.460066984690019,0.540716309862165,12.5386028083216,6.02058552805791,0.51983601202662,0.00051794503616106,0.475229536589568,0.564442487463672,0.470108828741401,0.558604178001265,12.5386028083216,6.01605093058748,0.520197662964907,0.000518591412004743,0.475563362607923,0.564831963321891,0.471743481013615,0.562797138614723,13.8357339383658,5.82467082840221,0.579012515393152,0.00152679122084091,0.502427130664848,0.655597900121457,0.494647210206114,0.646644285896558,13.0820163345375,6.04121619452622,0.538204506091545,0.000536288591842005,0.492815011112858,0.583594001070232,0.487570631449097,0.579303308489259
6,11.9805364591768,6.1926673196395,0.483106007753428,0.000468415696740523,0.440685897656937,0.525526117849918,0.438951389450635,0.521779940904674,11.9805364591768,6.1449986071818,0.48708485399459,0.000378711866929072,0.448942233371529,0.52522747461765,0.445504759374586,0.522678068767666,12.6839163036262,5.98427967925042,0.52819937186596,0.000493515666102604,0.484657555379968,0.571741188351951,0.48595355217442,0.570799983402016,12.6839163036262,5.93762012396566,0.531878011346687,0.000450349226610265,0.490284002295551,0.573472020397823,0.487065915869879,0.56908096691818,11.3804155608543,6.01115453265406,0.471798327529365,0.00360650017571745,0.354092205874473,0.589504449184256,0.34431005077014,0.564260166302869,13.264320682564,5.97196775034206,0.549772061965281,0.000508515236802945,0.505573508440283,0.59397061549028,0.50320039801715,0.589151537017415
7,11.925160849208,6.16966903705687,0.482634312855692,0.000489096044455499,0.439287901650377,0.525980724061007,0.437826781764628,0.523212055774432,11.925160849208,6.20400374980102,0.479755130496786,0.000441171682536237,0.438587119424703,0.52092314156887,0.434452324157091,0.518044739097646,12.210159000826,6.2033037015047,0.4919555346425,0.000597814856752817,0.444033039364169,0.53987802992083,0.438318504969885,0.536073877446033,12.210159000826,6.22936353920593,0.489821259593382,0.000594360377146049,0.442037425246981,0.537605093939783,0.437769374074667,0.533966118103378,11.5887044367703,6.20072394491407,0.46493380871467,0.00331856487652969,0.352024115465257,0.577843501964082,0.335482424302232,0.558632372242989,12.667895809446,6.24770535889195,0.50680796141114,0.000644754265868803,0.45703961818212,0.556576304640161,0.453341959596393,0.54704702084438
8,12.0521268222345,5.98533030190828,0.503379744489065,0.000413011109595102,0.463547301950093,0.543212187028038,0.463113701367068,0.544097888409319,12.0521268222345,5.97257955465393,0.504437711057325,0.000351499532631609,0.467691002299157,0.541184419815493,0.464276834266546,0.539569668945478,12.578021929264,6.19960262923473,0.507108298578272,0.000621923832994447,0.45822903306792,0.555987564088624,0.454975782979671,0.551961987509359,12.578021929264,6.18900009222289,0.507951240105284,0.000516647479782458,0.463400673797634,0.552501806412934,0.46820619891622,0.550963727552045,10.3745462818,6.33100750460103,0.389755722068781,0.00481563924505111,0.253741900257216,0.525769543880347,0.231409930069327,0.498803965628794,13.1636934960666,6.21236733465318,0.528068065660333,0.000616900753013234,0.479386591434755,0.576749539885911,0.475619374612983,0.571744325653469
9,11.9699744812544,5.88797325207497,0.508104778226902,0.000364220656240526,0.470699029029572,0.545510527424233,0.468980064407646,0.546853005722592,11.9699744812544,6.018740935665,0.497180136424631,0.000373223336471312,0.459314917959815,0.535045354889446,0.455259502836319,0.533881185039808,12.3148513147156,5.74515254825457,0.533477717153645,0.000541343722865303,0.487874800078535,0.579080634228754,0.48516561962847,0.577349728245331,12.3148513147156,5.88508045448804,0.522115184009111,0.000569212947569023,0.475353143213384,0.568877224804837,0.472071473511345,0.56409744126318,12.4440737712343,5.66528443915385,0.544740368523874,0.00185566440100118,0.460308618791406,0.629172118256342,0.446792260582439,0.619493731503592,12.9479894991297,5.89879666123546,0.544423737628768,0.000576207861348033,0.497375250722655,0.59147222453488,0.495751842023619,0.589940116814839
10,11.9299934873931,6.40391790682544,0.463208599938237,0.000489299592950999,0.419853169871398,0.506564030005076,0.41667826688087,0.503038374850875,11.9299934873931,6.35980975108557,0.466905848875253,0.000390205650099776,0.428188746382643,0.505622951367864,0.427092987804327,0.506804155880504,12.7035719115757,6.54019722479403,0.485168638370561,0.000701041295756654,0.433273356872348,0.537063919868774,0.426245615251892,0.530476427636379,12.7035719115757,6.49239716231742,0.488931364539967,0.000604562077116238,0.440739190118701,0.537123538961233,0.43801013447116,0.537521639792097,12.7536998023217,6.44155839181369,0.494926296552704,0.00227825888100437,0.401373320559065,0.588479272546343,0.382857060639812,0.578935939451502,13.3550832836077,6.524722931633,0.511442737340202,0.000560362654190228,0.465045655833526,0.557839818846879,0.460364193090264,0.554221965837897
