"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_nonparam_var_R.s","gs_nonparam_normci_lb_R.s","gs_nonparam_normci_ub_R.s","gs_nonparam_quantci_lb_R.s","gs_nonparam_quantci_ub_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","gs_param_var_R.s","gs_param_normci_lb_R.s","gs_param_normci_ub_R.s","gs_param_quantci_lb_R.s","gs_param_quantci_ub_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_nonparam_var_R.s","cc_nonparam_normci_lb_R.s","cc_nonparam_normci_ub_R.s","cc_nonparam_quantci_lb_R.s","cc_nonparam_quantci_ub_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","cc_param_var_R.s","cc_param_normci_lb_R.s","cc_param_normci_ub_R.s","cc_param_quantci_lb_R.s","cc_param_quantci_ub_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_nonparam_var_R.s","ipw_nonparam_normci_lb_R.s","ipw_nonparam_normci_ub_R.s","ipw_nonparam_quantci_lb_R.s","ipw_nonparam_quantci_ub_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","ipw_param_var_R.s","ipw_param_normci_lb_R.s","ipw_param_normci_ub_R.s","ipw_param_quantci_lb_R.s","ipw_param_quantci_ub_R.s"
1,12.2035201135072,6.85023925305156,0.438666942870893,0.00123266654698536,0.369852614370944,0.507481271370842,0.33160584618594,0.484341169419835,12.2035201135072,6.06607729243469,0.502923973082114,0.000343165956938501,0.466615484540521,0.539232461623706,0.465157394751993,0.538161901532675,11.9089850322005,7.20195937282998,0.395249943353132,0.00193189330709407,0.309101459161402,0.481398427544861,0.273728445177246,0.444616373464254,11.9089850322005,6.18045049986086,0.481026260159902,0.000536520690095675,0.435626944272198,0.526425576047607,0.433006471649039,0.52327707451315,12.2035201135072,7.44838117830469,0.389653058377755,0.00215774348381848,0.298608083956116,0.480698032799395,0.249355719253589,0.4397822276197,12.0245253514138,6.15463516607262,0.488159824508252,0.000506010032688948,0.44407027765667,0.532249371359834,0.445189097540218,0.53030091407467
2,11.8717666261434,6.88067377764659,0.420417028541115,0.00111059674026187,0.355098819461334,0.485735237620896,0.350916100685422,0.510654871082169,11.8717666261434,5.96741341977632,0.497344109962943,0.00034897140970881,0.460729788071949,0.533958431853938,0.46127551256508,0.533695107266681,11.8145417206267,5.93741831248203,0.49744827578745,0.00637811891607486,0.340916548562606,0.653980003012295,0.298097976282724,0.539098434114074,11.8145417206267,6.09574440845796,0.484047324678233,0.000543332857120592,0.438360701866796,0.529733947489669,0.439116675240195,0.529091441996151,11.8717666261434,6.05594736391244,0.489886589366038,0.00748069049013994,0.320364258722191,0.659408920009884,0.282406095455214,0.528230863024224,11.8962228010758,6.07467903811423,0.48936068702707,0.000585237599054665,0.441944985402731,0.53677638865141,0.444792057510062,0.537802208758686
3,11.7016608646194,7.10293513173654,0.392997693753659,0.00486544396715743,0.256282334176792,0.529713053330526,0.362417141321951,0.568327096378515,11.7016608646194,5.73498222303032,0.509900150980248,0.000439301098595731,0.468819509549456,0.550980792411041,0.466775587466865,0.55112203762332,11.7413731387349,5.91075256930761,0.496587622293684,0.00884764410164141,0.312226266308039,0.680948978279329,0.260588092258765,0.60920761446087,11.7413731387349,5.70694733317569,0.513945492938265,0.000612243276636991,0.465448134540836,0.562442851335694,0.466521196185697,0.561901090347869,11.7016608646194,5.89623920433945,0.496119459232746,0.00823603685760706,0.318244336767059,0.673994581698434,0.266425003002192,0.604179089537619,11.865743099841,5.68670973540939,0.52074558773436,0.000609798414826853,0.472345158083386,0.569146017385334,0.475519616422403,0.57296639097947
4,12.1604354471521,7.33716096861673,0.396636658242775,0.0021342414506013,0.306088869994636,0.487184446490915,0.36355846586706,0.539071683721517,12.1604354471521,6.19707812808795,0.490390113493901,0.000302652388728537,0.456292174897271,0.524488052090531,0.457734487471628,0.526338067556313,11.9474146539102,7.26683811164783,0.391764802498966,0.0026225149914232,0.291392228600259,0.492137376397673,0.348364858324678,0.513072206944202,11.9474146539102,6.1254729548047,0.487297199248047,0.000515577854940911,0.442792773765394,0.5318016247307,0.442726504507465,0.535490401693432,12.1604354471521,7.41569870519061,0.390178194077146,0.00243449637102257,0.293470587039642,0.48688580111465,0.344958685790916,0.50824229000313,12.0233687171455,6.10096034340989,0.492574794391041,0.000484865611099714,0.449416252575999,0.535733336206082,0.448621416148171,0.53539545672011
5,11.8849686225361,7.96457055682911,0.329861877655545,0.00641570804003856,0.172869572090552,0.486854183220538,0.30141396150025,0.541530499370922,11.8849686225361,5.76525565618466,0.514912000251085,0.00037727698591636,0.476841706463195,0.552982294038975,0.479739333570084,0.555342257852733,11.8715921568314,6.09568525655627,0.486531783097977,0.00224450621648231,0.39367439200153,0.579389174194423,0.369948494824568,0.540665347513132,11.8715921568314,5.87679674422759,0.504969791196387,0.00063421291142598,0.455609966231806,0.554329616160967,0.45744149606731,0.556263847256668,11.8849686225361,5.9865784699218,0.496289922165202,0.00248276977769521,0.398628218422159,0.593951625908245,0.371411829559408,0.552717480576735,11.9814893748193,5.8521249264671,0.511569493291366,0.000694555466613915,0.459914829605073,0.563224156977659,0.458996966454013,0.561871465917979
6,12.3503643728979,7.17729646114251,0.418859537707839,0.00401764265188873,0.294625178485055,0.543093896930623,0.269796008079879,0.460656199460505,12.3503643728979,6.42550302011465,0.479731704579095,0.000341330350392472,0.44352045392315,0.515942955235041,0.44603808866095,0.518229967674056,12.2228746390184,6.83615094516124,0.440708413768836,0.00365892149899649,0.322149935242225,0.559266892295448,0.291246255603551,0.474319191712869,12.2228746390184,6.40423385550018,0.476045198479225,0.000458434509919083,0.434079474211614,0.518010922746836,0.4317648307455,0.518065294563768,12.3503643728979,6.91107911860726,0.440414961863538,0.00385244135773304,0.318761607122013,0.562068316605062,0.282729258175983,0.476252153272243,12.358105429451,6.39746512255895,0.482326384162983,0.000409047935773885,0.442685514469332,0.521967253856633,0.445242921466385,0.521781255066368
7,11.9873800752124,8.52567845978241,0.288778831880718,0.00283221169546684,0.18447051749828,0.393087146263155,0.252721180601569,0.437595904816688,11.9873800752124,6.20072507879437,0.482728916586514,0.000357244640871466,0.445683120436724,0.519774712736305,0.442292654420502,0.519318909191617,12.0315140866693,7.31337137971275,0.392148708214885,0.00291768147509205,0.286278196953658,0.498019219476112,0.188471215637435,0.467204752774472,12.0315140866693,6.39646864115107,0.468357133185903,0.000605735112063244,0.420118227658288,0.516596038713518,0.422432887928818,0.51807110697109,11.9873800752124,7.26798899594937,0.393696625088401,0.00270738379967945,0.291712873417615,0.495680376759187,0.211702197551944,0.469690463610366,12.1340047159446,6.37136884980317,0.474916237552562,0.000728318402560966,0.422020982800569,0.527811492304555,0.421285433556152,0.529816893875287
8,12.0534869666391,7.01685559467078,0.417856789981888,0.00120487592120851,0.349822597556941,0.485890982406834,0.326333456015065,0.442008442010898,12.0534869666391,5.97591095455456,0.504217246752387,0.000372713915790383,0.466377878643229,0.542056614861545,0.465826575273133,0.541441883168396,11.8815810438325,6.89694322093039,0.419526475854787,0.00136258008875816,0.347176716567189,0.491876235142385,0.340837820074217,0.479719925493461,11.8815810438325,5.71423041868533,0.519068178081275,0.000634338870754229,0.469703451748706,0.568432904413844,0.475848407421431,0.569625059497124,12.0534869666391,6.94060982384771,0.424182409367721,0.00141458408764475,0.350464933616743,0.497899885118699,0.348239976483222,0.492280852745688,11.9744326644392,5.69022376619357,0.524802224401665,0.000578313579228757,0.477667847923715,0.571936600879616,0.476049466047948,0.574370738353935
9,12.2456673278611,6.91856091361245,0.435019690770837,0.00451567556592936,0.30331008878953,0.566729292752143,0.268321091684752,0.486459959476461,12.2456673278611,5.9433186745387,0.514659469719828,0.000356615443086378,0.477646311435772,0.551672628003885,0.480471153976268,0.555649172920736,11.7457903531421,6.72479680603218,0.427471749124722,0.00455142500692265,0.295241819431804,0.55970167881764,0.262304008916322,0.482127321883098,11.7457903531421,5.83340780038561,0.503361832196749,0.000680559499411382,0.452230262956809,0.554493401436688,0.453148045414227,0.55506215153605,12.2456673278611,6.97586810908242,0.430339897180529,0.00399985217263465,0.30638090353185,0.554298890829208,0.264238589506226,0.476221044939352,11.9189867955416,5.76836674384128,0.516035478284196,0.000560601589290036,0.469628506120343,0.562442450448049,0.467488457904544,0.564700523559689
10,11.8231654510081,4.51443659299124,0.618170225926566,0.00954050041285903,0.426726274896403,0.809614176956729,0.378566773663849,0.658017147783228,11.8231654510081,5.51064471998513,0.533911223451983,0.000432152173289439,0.493166214077721,0.574656232826245,0.493743779826723,0.57325355773516,11.7359345594454,6.73088744465409,0.426471968588397,0.00078273450475211,0.371636278810154,0.48130765836664,0.387940705890295,0.492723856014962,11.7359345594454,5.81251871324092,0.504724682657432,0.000588237230166071,0.45718762192156,0.552261743393304,0.458844870861152,0.552948465172958,11.8231654510081,6.72399261979193,0.43128660022104,0.00102266456072838,0.368607511391558,0.493965689050523,0.392546734091589,0.508175193249335,11.8768474193748,5.77468983016953,0.513785971456596,0.000578740531426288,0.466634199214959,0.560937743698234,0.463584463265393,0.56112564886088
