"r","smle_param_delta","smle_param_delta.s","smle_param_R.s","smle_param_var_R.s","smle_param_normci_lb_R.s","smle_param_normci_ub_R.s","smle_param_quantci_lb_R.s","smle_param_quantci_ub_R.s"
1,13.6071348462553,6.11937048283121,0.550282219440541,0.000418838301359588,0.510169762291882,0.5903946765892,0.510603979780612,0.585381355439499
2,11.6246193789871,5.94168262250709,0.488870781158876,0.000637692434565298,0.439375738410879,0.538365823906873,0.430369086124101,0.532484756560096
3,12.8942748261045,6.0348181357319,0.531976926417423,0.000474727441642265,0.489271974247763,0.574681878587083,0.484544247944676,0.573444283421036
4,13.1030497812307,5.80695320007498,0.556824304491838,0.000427317026612728,0.516307874621531,0.597340734362144,0.509916195149178,0.596907970409926
5,12.6206197941451,6.11186950387025,0.515723506169989,0.000568807567461711,0.468978119754206,0.562468892585772,0.467037715425697,0.558525041275866
6,11.4692805737983,5.78231054350855,0.495843657646817,0.000626138112409922,0.446799063932179,0.544888251361456,0.441524953111767,0.540246053821787
7,12.1999845803173,6.53803556711218,0.464094767983538,0.000605318493987185,0.415872454408792,0.512317081558285,0.416140786159445,0.508935463001519
8,11.811178839975,6.29912570584933,0.466681032334392,0.000719961647267465,0.414090114257763,0.519271950411021,0.412083770839976,0.51327086594078
9,11.8701246278295,6.01674761674163,0.493118412368191,0.000547109881852968,0.447273267345775,0.538963557390607,0.441506479263232,0.535528706817837
10,12.6986026722535,5.98560967567485,0.52864028978925,0.000465462159668375,0.486354128547278,0.570926451031222,0.484296638650903,0.56551643823178
11,12.0819217976965,6.14604577861389,0.491302304258775,0.000680786937310933,0.44016219183835,0.5424424166792,0.43687269358548,0.542359917012586
12,11.8246144405791,6.07525510910078,0.486219602370119,0.000672954753413181,0.435374514301437,0.537064690438802,0.429768282515825,0.534029705349567
13,11.6261285496054,6.15649473540026,0.470460462471904,0.000758327757119426,0.416486469551702,0.524434455392106,0.414765102382443,0.518642075659167
14,11.6242247030757,5.86353791405859,0.495576000650855,0.000565274182066701,0.448976029644132,0.542175971657579,0.445646799694937,0.535824305352507
15,11.5869500939622,5.87461685627418,0.492997138277539,0.000607781382208088,0.444676822075236,0.541317454479843,0.438503426006332,0.536949767182719
16,12.3195239218815,5.94023233579993,0.517819651679145,0.000517194317356219,0.473245514676219,0.562393788682071,0.46943609252646,0.556021892596033
17,12.2825046439216,6.45134877945133,0.474752994891476,0.000573170588604771,0.427828671420763,0.521677318362189,0.421735646687738,0.5176216851577
18,11.6869971203199,6.05109416940444,0.482237044545551,0.000635273764520468,0.432835954539542,0.531638134551561,0.428326986986568,0.525381668202623
19,11.8696061663323,6.27272001418165,0.471530906225518,0.000691019533994711,0.420007895426516,0.52305391702452,0.418427568774507,0.515783078305439
20,12.3707655636891,5.93309653775592,0.520393745463027,0.000489071773501715,0.4770484097845,0.563739081141554,0.47828930668819,0.562780162816039
21,11.0297934153886,6.11313664457469,0.44576145587226,0.000880927503465958,0.387587826990139,0.503935084754382,0.384215911962782,0.500493828918918
22,12.1458160437269,6.26991458405722,0.483779882596236,0.00058534077439249,0.436360001545076,0.531199763647396,0.435523525394318,0.528647705873727
23,12.2824139878345,6.07601335007379,0.505307885233963,0.000594580572022744,0.457515200380708,0.553100570087218,0.453839607492784,0.549641806081423
24,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA
